,id,created_at,text
91,1462933920224321540,2021-11-23T00:00:01.000Z,"Canada hopes to keep number of wasted COVID-19 doses below 5 per cent, Public Health Agency says. https://t.co/wJJTMtYjwi"
92,1462933522675605506,2021-11-22T23:58:26.000Z,N.W.T. COVID-19 cases drop by more than half over weekend https://t.co/pS4woWPqN6 https://t.co/v18u5b2oki
93,1462933419722108933,2021-11-22T23:58:01.000Z,"The cowboys are coming for @LasVegasNFR in #Vegas after a year away because of #Covid, 9 cowboys from Canada have qualified; Logan Bird's standout tie-down roping horse TJ passed away over the weekend in Texas. He was 18; Cowboy Christmas will open 1 day early on Wednesday Dec 1. https://t.co/SdhPB7Ne35"
94,1462933342538461185,2021-11-22T23:57:43.000Z,"Never forget that Trudeau shut down Parliament in an effort to keep unredacted documents from reaching the Speaker. So now with only 3 weeks til the Christmas break, will we finally get the info or will Trudeau take the speaker back to court? #Trudeau #Canada #Covid #Criminal https://t.co/i83aHpocbV https://t.co/89ibFHYkAB"
95,1462932599303716869,2021-11-22T23:54:46.000Z,"Alberta reports 1,125 new cases of COVID-19 over 3 days, 6 new deaths https://t.co/5gk9y2Xe5m"
96,1462932525530054656,2021-11-22T23:54:28.000Z,"And again, as of today, 19 children in Canada have died after being diagnosed with covid. Even though it is heartbreaking, these numbers do not support the rushed mass vaccination of our healthy children."
97,1462932312048517121,2021-11-22T23:53:37.000Z,"Protests against virus restrictions in Austria, Croatia, Italy, Northern Ireland, the UK, France, Germany, and the Netherlands. Also in several cities across Canada, Australia, Japan, &amp; even the US. Saturday was “Worldwide Freedom” rally to protest COVID restrictions &amp; mandates."
98,1462931666746359812,2021-11-22T23:51:03.000Z,"@krantznikovich @RobDenBleyker @Alexxxxxx94 @BNODesk If facemasks didn't work, then Canada would be experiencing a similar spike in Covid cases as is currently being experienced in Europe and the northern USA.  Simply compare Ontario to Michigan. The only ones harping that facemasks don't work are those who are in complete denial."
99,1462931630524411904,2021-11-22T23:50:55.000Z,@minhealthnz SAY NO TO COVID-19 VACCINES  Get your covid-19 Digital QR certificate  or PAPER CARD without taking the vaccine. Send a dm to get your QR Scan Covid-19 Passports without taking the vaccine.  USA UK EU AUSTRALIA CANADA IRELAND AUSTRIA
100,1462931450228092935,2021-11-22T23:50:12.000Z,@shazmamithani SAY NO TO COVID-19 VACCINES  Get your covid-19 Digital QR certificate  or PAPER CARD without taking the vaccine. Send a dm to get your QR Scan Covid-19 Passports without taking the vaccine.  USA UK EU AUSTRALIA CANADA IRELAND AUSTRIA
101,1462931288231333889,2021-11-22T23:49:33.000Z,"With the recent approval of the paediatric Pfizer COVID-19 vaccine by Health Canada and the arrival of supply into Canada, we are launching its immunization campaign for 5 to 11 year olds. #TBay  Read the full media release:  https://t.co/zaYC9j7pLR https://t.co/ErUzdUm7c2"
102,1462931128315224073,2021-11-22T23:48:55.000Z,Plane carrying doses of COVID-19 vaccines for kids touches down in Canada https://t.co/0QZTIlTNPT via @Yahoo
103,1462930918620991496,2021-11-22T23:48:05.000Z,"Parliament hasn't sat in 5 months, Trudeau has partied around the world with zero Covid measures, BC is in crisis, families across Canada can't afford to buy groceries but Trudeau's media know what's really important, Trudeau met the unwashed &amp; they hated him so its vengeance! https://t.co/2lPTV96ZLX"
104,1462930888233152513,2021-11-22T23:47:58.000Z,"@StKildaSteele @compte_grasse @MatrixHappening @BernieSpofforth As #9 says most states and territories in Australia have indeed managed covid zero, as had many provinces of Canada for much of the pandemic.  Keeping it that way where there is high covid in other states/provinces is difficult. Everyone is transitioning away from covid-zero."
105,1462930644321906694,2021-11-22T23:47:00.000Z,"COVID-19 changing face of med-tech adoption, says new Medtech Canada CEO https://t.co/G841f465JU"
106,1462930273084051457,2021-11-22T23:45:31.000Z,#Canada has been building isolation facilities but they haven't been used yet. They'll be used soon.  #COVID19  https://t.co/04X5nsoR6p
107,1462930237285539847,2021-11-22T23:45:23.000Z,COVID-19 is still here.  It’s still killing people.  https://t.co/ki8hkwbooh   1/2 #ableg #abhealth
108,1462930183858569220,2021-11-22T23:45:10.000Z,"Confidence in Edmonton Police Service drops, perception of crime increases in pandemic, survey shows https://t.co/AEoTKpcf8k #EdmontonPolice #DistrustPolice"
109,1462930173779656712,2021-11-22T23:45:08.000Z,Canada ends COVID-19 policy turning back asylum-seekers between border crossings https://t.co/1wHGFskP8G
110,1462930163180658688,2021-11-22T23:45:05.000Z,"As Health Canada approves COVID-19 Pfizer vaccine for kids, millions of Canadian children ages 5-11 are expected to receive their COVID-19 vaccine. Learn more on @_InsideTheStory tonight at 7 pm. https://t.co/lLtpiYOEN8"
111,1462930137142415361,2021-11-22T23:44:59.000Z,"2021-11-22 As of Monday, Nov 22, there are eighteen (18) flights identified with potential COVID-19 exposures.  Air Canada: 13 WestJet: 4 Swoop: 1 https://t.co/fwFyGxHhJC https://t.co/Z1IVmx3tCi"
112,1462929951108354052,2021-11-22T23:44:14.000Z,Austria will make COVID vaccination obligatory (mandatory) as of February 1st.   The USA and Canada should do the same. 👇🏿  Radio Havana Cuba | Austria re-enters COVID-19 lockdown as cases soar again in Europe https://t.co/JBPeU9HLo1
113,1462929463465947140,2021-11-22T23:42:18.000Z,"@CP24 when is @CBCNews @CTVNews @GlobalNational gonna start questioning the liars about covid? Get the vaccine, kids can go to school, we will be able to go out for dinner &amp; socialize! This has been a total lie &amp; media has helped to push this lie! The media in Canada is f**king trash!"
114,1462929364576780290,2021-11-22T23:41:55.000Z,"“In addition to the $4.5 million settlement, @AirCanada would agree going forward to refund airfare to passengers who purchase nonrefundable tickets to or from the U.S. whose flights are cancelled or significantly changed by the carrier.”🤔 #COVID19 https://t.co/0UvtbnSJOx"
115,1462928767387521035,2021-11-22T23:39:32.000Z,@p_poutine The Public Health Agency of Canada carries out testing at the airport for international arriving travellers as outlined under the Quarantine Act. The new COVID-19 testing site provides a service for departing international travellers to meet the requirements for their itinerary.
116,1462928674370592782,2021-11-22T23:39:10.000Z,Bookings for kids' COVID-19 vaccinations in Hamilton start Tuesday: https://t.co/mHc9QHXmTs #HamOnt
117,1462928333872807941,2021-11-22T23:37:49.000Z,"Alberta reports 1,125 new cases of COVID-19 over 3 days, 6 new deaths https://t.co/OkdCcE9qbj"
118,1462928154364837888,2021-11-22T23:37:06.000Z,"#Canada is a fxcking scam. Nothing works, everything is being exploited and sold out, excuses piling sky high. Oh, you experts at @CitImmCanada can’t “process PR Card applications normally” due to COVID? Didn’t you have 18 months of lower volume to get this sorted? Lazy fxckers"
119,1462927264752881664,2021-11-22T23:33:34.000Z,@NormRobins8 @peakduck @IanBuchanan14 @ColeyT Not going to comment on this because it is so highly biased a publication. There are risks and benefits. The benefits grow larger as the prevalence of COVID increases and depending on variants.  https://t.co/LMgBWUGwt1
120,1462927241327759361,2021-11-22T23:33:28.000Z,@gator_gum @OtownSensFan Look you cab downplay the data all you want but the fact this vaccine messes up so many peoples hearts is concerning. Especially when it's mostly children and you all are pushing for 5 year olds to get it. No healthy child in Canada has died of covid.
121,1462927070972067840,2021-11-22T23:32:48.000Z,the injustice is deafening... 👇  #COVID19 #VaccinEquity  https://t.co/t7r81FQplG
122,1462927001338142721,2021-11-22T23:32:31.000Z,Do they need to provide a Negative PCR test before they cross... like ever Canadian citizen has to when coming back from the states?  https://t.co/cGO4ub7fxS
123,1462926721481596933,2021-11-22T23:31:24.000Z,Dr. Sohail Gandhi is patting Health Canada on the back for its decision-making before green-lighting the COVID-19 vaccination for kids ages five through 11.  https://t.co/ge4wDwff8T
